product_id,product_category_name_english,avg_review_score
002ec297b1b00fb9dde7ee6ac24b6771,housewares,5.00
003128f981470c3e5a2e7445e4a771cd,sports_leisure,5.00
00126f27c813603687e6ce486d909d01,cool_stuff,5.00
002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,5.00
001b237c0e9bb435f2e54071129237e9,bed_bath_table,5.00
000b8f95fcb9e0096488278317764d19,housewares,5.00
001c5d71ac6ad696d22315953758fa04,bed_bath_table,5.00
00210e41887c2a8ef9f791ebc780cc36,health_beauty,5.00
000d9be29b5207b54e86aa1b1ac54872,watches_gifts,5.00
004154251837f6ac124ad4374b3a8148,furniture_decor,5.00
